key,title,doi,status,matched_file,abstract_preview
Q2IZ2UTR,A holistic methodology for system margining and jitter tolerance optimization in post-silicon validation,10.1109/tmtt.2015.2504099,not_found,,
99JRK7TA,"Machine Learning-Based Defect Detection, Output Matching Assessment, and Performance Recentering of a 79-GHz Four-Way CMOS Power Amplifier",10.1109/TMTT.2025.3619021,not_found,,
MM5AI477,On the Exploration of Convolutional Variational Autoencoders for Analog Integrated Circuit Post-Placement Performance Regression,10.1109/SMACD65553.2025.11092107,updated,SMACD2025_On_the_Exploration_of_Convolutional.md,"The layout-aware synthesis of analog integrated circuits (ICs) still poses significant challenges, n..."
HUJMTUUW,Performance-oriented broadband inverse design of frequency-selective surfaces using multibranch autoencoders,10.1109/TMTT.2025.3633907,not_found,,
TBN562VX,An Analog Circuit Building Block Generator via Nested Multi-Fidelity Modeling,10.1109/TCSI.2023.3273593,updated,TCAS-I2023_Analog_Circuit_Building_Block_Generator.md,"In this paper, we propose an analog circuit building block generator, which is composed of a layout-..."
8AP3FDI2,A spectral convolutional net for co-optimization of integrated voltage regulators and embedded inductors,10.1109/ICCAD45719.2019.8942109,not_found,,
ZZWJ72UP,2-D Dynamic-Kernel Convolutional Neural Network for Extrapolative Nonlinear RF Device Modeling,10.1109/TMTT.2025.3649507,updated,TMTTNone_2_D_Dynamic_Kernel_Convolutional_Neural_Network.md,This article presents an enhanced 2-D dynamic-kernel convolutional neural network (2-D DK-CNN) frame...
XCN4FEF5,An Efficient Transistor Modelling Method using Convolutional Neural Network with Transfer Learning,10.1109/IWS61525.2024.10713657,updated,IEEE2024_Efficient_Transistor_Modelling_Method_using.md,"In this paper, an efficient CNN model with transfer learning ability is developed for predicting the..."
TCEMXMAR,A Frequency-Domain Neural-Network Model for High-Power RF Transistors,10.1109/SMACD58065.2023.10192169,updated,SMACD2023_Frequency_Domain_Neural_Network_Model_for.md,"In power amplifier design, when equivalent-circuit models are not available, behavioral models prese..."
DV75XEJ3,Functionality Pre-Encoding: Indirect Learning Technique for Radio Frequency Devices Characterization,10.23919/EuMC65286.2025.11235217,updated,20252025_Functionality_Pre_Encoding_Indirect_Learning.md,Conventional data-driven modeling directly maps the features of a radio frequency (RF) component to ...
NYG2PGH5,Generative AI for planar substrate integrated waveguide microwave filters: Autonomous circuit synthesis with coupling-controlled topology generation,10.1109/tmtt.2025.3627439,updated,TMTT2026_Generative_AI_for_Planar_Substrate.md,"As microwave device designs become increasingly complex, traditional full-wave electromagnetic (EM) ..."
9PI82X7B,Conure: Surrogate-based Artwork Generator for RFCMOS Integrated Inductors,10.1109/ISCAS58744.2024.10558598,updated,IEEE2024_Conure_Surrogate_based_Artwork_Generator_for.md,"Designing integrated inductors can be a resource-intensive task, requiring computationally demanding..."
I85EXXMS,A scalable model for on-chip spiral inductors by Space-mapping neural network,10.1109/ISAP57493.2023.10389087,updated,IEEE2023_scalable_model_for_on_chip_spiral.md,This paper presents a scalable model for on-chip spiral inductors utilizing the space-mapping neural...
6T97RSTS,Neural Network Specialists for Inverse Spiral Inductor Design,10.1109/ICTAI.2018.00020,updated,IEEE2018_Neural_Network_Specialists_for_Inverse.md,Integrated spiral inductors are a fundamental part of Radio-Frequency (RF) circuits. In certain scen...
NFIS759J,Data-Driven Full-Functionality Modeling of Broadband Radio Frequency Components,10.23919/EuMC65286.2025.11235160,updated,20252025_Data_Driven_Full_Functionality_Modeling_of.md,A deep learning-based approach for full-functionality modeling of broadband radio frequency (RF) dev...
ZQ8HE5V4,L-Bot: A Physically Motivated Deep Learning Based Inductor Modeling Tool,10.1109/APMC52720.2021.9661689,updated,IEEE2021_L_Bot_A_Physically_Motivated_Deep.md,"In this paper, we present L-BOT, a physically motivated automatic inductor modeling tool based on de..."
D52VZFRZ,Automatic parametric model development technique for RFIC inductors with large modeling space,10.1109/MWSYM.2017.8058623,updated,IEEE2017_Automatic_parametric_model_development_technique.md,We present an automatic method to extract parametric model for RFIC inductors in large modeling spac...
XNJ75TE9,Gaussian-Excited Causal Behavioral Modeling of RFICs from Real-World Measurements Using Neural Networks,10.1109/TCAD.2026.3650861,updated,TCADNone_Gaussian_Excited_Causal_Behavioral_Modeling_of.md,"With the advancement of radio frequency integrated circuit (RFIC) technology, neural network-based b..."
6ZQAUSKH,Causality and Passivity Constrained Neural Network Prediction of Electromagnetic Performance in Reconfigurable Microsystem Interconnects,10.1109/IMWS-AMP66175.2025.11136392,updated,IEEE2025_Causality_and_Passivity_Constrained_Neural.md,Interconnects in reconfigurable radio frequency (RF) microsystems exert significant influence on hig...
QTMCX76F,Parametric Modeling of Transmission Structure of RF Microsystem Based on CNN-LSTM-SelfAttention,10.1109/ICICM66614.2025.11315965,updated,ICICM2025_Parametric_Modeling_of_Transmission_Structure.md,RF microsystem technology is a key technology for achieving the high-density integration of RF front...
CZ6INDRU,An Embedded-Structured Convolutional Neural Network for Efficient RF Device Behavior Model Extraction,10.1109/IMS40360.2025.11103879,updated,IEEE2025_Embedded_Structured_Convolutional_Neural_Network.md,"In this paper, a novel embedded-structured convolutional neural network based approach to extract no..."
WJJ24CC2,FuNToM: Functional Modeling of RF Circuits Using a Neural Network Assisted Two-Port Analysis Method,10.1109/ICCAD57390.2023.10323890,updated,IEEE2023_FuNToM_Functional_Modeling_of_RF.md,Automatic synthesis of analog and Radio Frequency (RF) circuits is a trending approach that requires...
9FUVZKDZ,Physics Embedded Neural Network (PENN) Architecture for Solving Maxwell’s Equations towards Accelerated Microwave Modeling,10.1109/MAPCON58678.2023.10463927,updated,IEEE2023_Physics_Embedded_Neural_Network_PENN.md,In this paper we demonstrate a neural network architecture that is useful in providing a solution of...
CV3BXAPE,A Behavioral Dynamic Nonlinear Model of ADC via Autoencoder and Fully Connected Neural Network,10.1109/ICEMI66537.2025.11306893,updated,IEEE2025_Behavioral_Dynamic_Nonlinear_Model_of.md,"Analog-to-digital converter circuits represent complex dynamic nonlinear systems, where accurate mod..."
S6Q3CA53,Simulation and automated modeling of microwave circuits: State-of-the-art and emerging trends,10.1109/jmw.2020.3033780,not_found,,
FZ8IUXGQ,Knowledge-Based Extrapolation of Neural Network Model for Transistor Modeling,10.1109/LMWT.2025.3562538,updated,IEEE2025_Knowledge_Based_Extrapolation_of_Neural_Network.md,"Artificial neural network (ANN) is a useful technique for active device modeling. However, it shows ..."
M3A8DZPB,A High-Performance Transfer Learning-Based Model for Microwave Structure Behavior Prediction,10.1109/TCSII.2023.3296454,updated,TCAS-II2023_High_Performance_Transfer_Learning_Based_Model_for.md,Microwave structure behavior prediction enables the estimation of circuit response over a frequency ...
CSXKV7B4,Efficient Broadband Modeling of Microwave Devices with Machine Learning and Analytical Extension of Eigenvalues,10.1109/ICEAA49419.2022.9899975,not_found,,
4GB99ZPS,Surrogate-based Design and Tuning Methods for RF/Microwave Devices,10.1109/IMS37962.2022.9865421,updated,IEEE2022_Surrogate_based_Design_and_Tuning_Methods.md,RF/Microwave devices are mission-critical components for communication systems. Using three-dimensio...
PPUAHER3,Efficient RF Passive Components Modeling with Bayesian Online Learning and Uncertainty Aware Sampling,10.1109/ASP-DAC66049.2026.11420493,updated,ASP2026_Efficient_RF_Passive_Components_Modeling.md,Conventional radio frequency (RF) passive components modeling based on machine learning requires ext...
