key,title,doi,date,item_type
Q2IZ2UTR,A holistic methodology for system margining and jitter tolerance optimization in post-silicon validation,10.1109/tmtt.2015.2504099,12/2016,journalArticle
99JRK7TA,"Machine Learning-Based Defect Detection, Output Matching Assessment, and Performance Recentering of a 79-GHz Four-Way CMOS Power Amplifier",10.1109/TMTT.2025.3619021,1/2026,journalArticle
CSXKV7B4,Efficient Broadband Modeling of Microwave Devices with Machine Learning and Analytical Extension of Eigenvalues,10.1109/ICEAA49419.2022.9899975,2022-9-5,journalArticle
7D2NQXKC,Deep Learning enabled mmWave PA and Antenna Design,10.1109/RFIT54256.2022.9882516,2022-8-29,journalArticle
MIGG2WXR,An online performance monitoring method for analog circuit,10.1109/INDIN.2016.7819203,7/2016,journalArticle
4R7KSEXF,From on-chip self-healing to self-adaptivity in analog/RF ICs: challenges and opportunities,10.1109/IOLTS.2018.8474078,7/2018,journalArticle
XWCDXVUJ,INVITED: Reducing Time and Effort in IC Implementation: A Roadmap of Challenges and Solutions,10.1109/DAC.2018.8465871,6/2018,journalArticle
6DAMSPUU,Feedback-Driven Differential Evolution Model for Device Sizing Optimization in Analog Circuit Design,10.1109/ACCESS.2026.3676156,2026,journalArticle
DXXK35VK,RF Design-Oriented ACM Model Generation Using Parametric Test and Machine Learning Regression in 28nm FD-SOI CMOS Technology,10.1109/LASCAS67804.2026.11457152,2026-2-24,journalArticle
WZ4G6JK9,Application Driven Rapid Synthesis for Analog BIST Components,10.1109/MWSCAS54063.2022.9859392,2022-8-7,journalArticle
X4E3HQFT,RX Equalization for a High-Speed Channel based on Bayesian Active Learning using Dropout,10.1109/EPEPS48591.2020.9231471,10/2020,journalArticle
M267E3VC,A new nonlinear behavioral modeling technique for RF power transistors based on Bayesian inference,10.1109/MWSYM.2017.8058645,6/2017,journalArticle
HXWGWVP9,Intelligent and Interactive Analog Layout Design Automation,10.1109/ICSICT55466.2022.9963217,2022-10-25,journalArticle
625QWXEH,Application of Neural Networks to Reduce Distortion of RF Signals in Switch Mode Power Amplifiers,10.1109/EExPolytech50912.2020.9243973,2020-10-15,journalArticle
A6Q3EH6X,Prediction of Active Implantable Medical Device Electromagnetic Models Using a Neural Network,10.1109/APS/URSI47566.2021.9704511,2021-12-4,journalArticle
G6XCPP7B,Artificial Neural Network Modeling of Interdigital Capacitor Sensor for Oxygen Detection,10.1109/ICEST49890.2020.9232862,9/2020,journalArticle
E9KSS6M6,An Efficient Neural Network Macro-model for Electromagnetic Radiation Spurious Emission from Voltage-Variable Capacitors,10.1109/EMCEUROPE48519.2020.9245803,2020-9-23,journalArticle
P5ETR3IW,Automated E-circuit Designing and Characterization using Prominent Neural Network,10.1109/SCEECS48394.2020.85,2/2020,journalArticle
MNIEUGTJ,Design Automation of CMOS Op-Amps Using Statistical Geometric Programming,10.1109/ISCAS48785.2022.9937871,2022-5-28,journalArticle
TQ4PUCKP,An Intelligent Sensing Framework for Post-Manufacturing Performance Measurement and Healing of CSVCO,10.1109/TIM.2022.3225039,2023,journalArticle
PHST2NPW,System and Component Design for Wireless Distributed Computing,10.1109/RFIT49453.2020.9226252,9/2020,journalArticle
236NXRKK,Performance Estimate of Multi-Terminal Dielectric Array Radiator using Machine Learning Techniques,10.1109/GCWCN66157.2025.11448537,2025-11-22,journalArticle
PEQQTPCD,A Neural Network-Based Model of Radio Frequency Energy Harvesting Characteristics in a Self-Powered Food Monitoring System,10.1109/JSEN.2019.2922346,2019-10-1,journalArticle
CSPB5FGV,GCN-RL Circuit Designer: Transferable Transistor Sizing with Graph Neural Networks and Reinforcement Learning,10.1109/DAC18072.2020.9218757,7/2020,journalArticle
9G2IMDTV,GCN-RL Circuit Designer: Transferable Transistor Sizing with Graph Neural Networks and Reinforcement Learning,10.1109/DAC18072.2020.9218757,7/2020,journalArticle
XPFI8A5E,An Accuracy Improvement of the Neuromorphic Functional Models by Using the Parallel ANN Architecture,10.1109/EWDTS50664.2020.9225034,9/2020,journalArticle
VAV6CMXF,A robust calibration and supervised machine learning reliability framework for digitally-assisted self-healing RFICs,10.1109/MWSCAS.2017.8053129,8/2017,journalArticle
72W828SW,System Margining Surrogate-Based Optimization in Post-Silicon Validation,10.1109/TMTT.2017.2701368,9/2017,journalArticle
3SMB4RRG,Digital Predistortion of RF Power Amplifiers With Decomposed Vector Rotation-Based Recurrent Neural Networks,10.1109/TMTT.2022.3209658,11/2022,journalArticle
JPSV23EG,Towards Efficient ECO Automation: Timing and DRCs Concurrent Optimization Using Reinforcement Learning,10.1109/tcad.2026.3656764,2026,journalArticle
