key,title,item_type,url,doi
HUJMTUUW,Performance-oriented broadband inverse design of frequency-selective surfaces using multibranch autoencoders,journalArticle,https://ieeexplore.ieee.org/document/11274407/,10.1109/TMTT.2025.3633907
7C5VWXUM,A compact <i>E</i> -band load-modulation balanced power amplifier in 65-nm CMOS,journalArticle,https://ieeexplore.ieee.org/document/10546477/,10.1109/jssc.2024.3404610
J7ASQGD8,State Transfer Adaptive Matching Network Architecture (STA-MNA) Based on Deep Learning Used in RF Systems,conferencePaper,https://ieeexplore.ieee.org/document/11378688/,10.1109/APMC65046.2025.11378688
V9S3MBWP,Measurement-Driven Automated Design of High-Efficiency Power Amplifiers,conferencePaper,https://ieeexplore.ieee.org/document/10814353/,10.1109/ICICM63644.2024.10814353
WTWKBVN9,LASANA: Large-Scale Surrogate Modeling for Analog Neuromorphic Architecture Exploration,conferencePaper,https://ieeexplore.ieee.org/document/11189133/,10.1109/MLCAD65511.2025.11189133
JAWPPMIJ,ANN Based RF Energy Harvesting Antenna Design,conferencePaper,https://ieeexplore.ieee.org/document/10601049/,10.1109/SIU61531.2024.10601049
P9HIITPM,Neural Network based GaN HEMT Modelling for Millimeter Wave Power Amplifiers,conferencePaper,https://ieeexplore.ieee.org/document/9865646/,10.1109/IMS37962.2022.9865646
888WMN2X,Spiral Inductor ANN Scalable Model for 0.1um GaAs pHEMT Process,conferencePaper,https://ieeexplore.ieee.org/document/10812411/,10.1109/RFIT60557.2024.10812411
SHCT68JE,Novel Methods for Improved Particle Swarm Optimization in Designing the Bandgap Reference Circuit,journalArticle,https://ieeexplore.ieee.org/document/10353984/,10.1109/ACCESS.2023.3341492
JQREGAEF,Envelope Added Time-Delay Neural Network-based Digital Predistortion of Wideband Envelope Tracking Power Amplifiers,conferencePaper,https://ieeexplore.ieee.org/document/9618372/,10.1109/ICMMT52847.2021.9618372
HZTBRKTT,An Efficient Meta-Reinforcement Learning Approach for Circuit Linearity Calibration via Style Injection,conferencePaper,https://ieeexplore.ieee.org/document/10406135/,10.1109/MWSCAS57524.2023.10406135
7KU9BMKN,Self-Sensing Digital Predistortion of RF Power Amplifiers for 6G Intelligent Radio,journalArticle,https://ieeexplore.ieee.org/document/9677016/,10.1109/LMWC.2021.3139018
62MBJ4SF,Transfer Learning for the Behavior Prediction of Microwave Structures,journalArticle,https://ieeexplore.ieee.org/document/9930869/,10.1109/LMWC.2022.3214467
9QVE92WM,BLDC Engine Behavioral Model Approached with Machine Learning,conferencePaper,https://ieeexplore.ieee.org/document/11222176/,10.1109/CAS66707.2025.11222176
3GZEDHFX,A Design of Source-Switched Charge Pump Circuit with 65nm Technology by using Bayesian Optimization,conferencePaper,https://ieeexplore.ieee.org/document/10299853/,10.1109/ISEE59483.2023.10299853
KTZ2N4CV,Analog/Mixed-Signal Circuit Synthesis Enabled by the Advancements of Circuit Architectures and Machine Learning Algorithms,conferencePaper,https://ieeexplore.ieee.org/document/9712577/,10.1109/ASP-DAC52403.2022.9712577
CF5F5ARU,Machine Learning to Model and Predict Layout Dependent Effects on 55nm Low Power Platform,conferencePaper,https://ieeexplore.ieee.org/document/11017827/,10.1109/CSTIC64481.2025.11017827
TIRFVA4S,Transistor-Level A2 Trojan Anomaly Detection Method,conferencePaper,https://ieeexplore.ieee.org/document/11086025/,10.1109/EEISS65394.2025.11086025
5VIHCRPK,Spectral Probability Distribution of Crosstalk in Batches of Mixed Signal Circuits and an AI Design Tool,conferencePaper,https://ieeexplore.ieee.org/document/11197834/,10.1109/AE66163.2025.11197834
I39NIC79,Low-Power 9.6-11GHz and 10.8-12GHz VCOs Designed for a 2.5/5GHz TRx using High-Q Inductors Synthesized with ML Techniques,conferencePaper,https://ieeexplore.ieee.org/document/10745382/,10.1109/SMACD61181.2024.10745382
M5X433DI,Modeling of GaN HEMTs Based on BP Neural Networks,conferencePaper,https://ieeexplore.ieee.org/document/10813862/,10.1109/MAPE62875.2024.10813862
64MGFVC2,GaN Distributed RF Power Amplifer Automation Design with Deep Reinforcement Learning,conferencePaper,https://ieeexplore.ieee.org/document/9869961/,10.1109/AICAS54282.2022.9869961
7BHWK9I3,"Intelligent Analog and Mixed-Signal IC (I-AMS-IC) Design: A Conceptual Framework, and Case Study on AI Integration",conferencePaper,https://ieeexplore.ieee.org/document/11131067/,10.1109/IS3C65361.2025.11131067
7M7GBVUW,NeuroPump: Predictive Modeling of Charge Pump Performance Parameters Using Neural Network,conferencePaper,https://ieeexplore.ieee.org/document/11145006/,10.1109/TENSYMP63728.2025.11145006
2FPD6UV7,Automatic Optimal Design Method for Circuit Sizing Based on CNN Surrogate Model Assisted Differential Evolution Algorithm,journalArticle,https://ieeexplore.ieee.org/document/10683687/,10.1109/ACCESS.2024.3462952
SD5FW2KN,Generative AI for Analog Integrated Circuit Design: Methodologies and Applications,journalArticle,https://ieeexplore.ieee.org/document/10937153/,10.1109/ACCESS.2025.3553743
956N53R3,Millimeter-Wave Multi-Band Reconfigurable Differential Power Divider for 5G Communication,journalArticle,https://ieeexplore.ieee.org/document/9523605/,10.1109/TMTT.2021.3105120
UGIQE4UV,Automated Design of Analog Circuits Using Reinforcement Learning,journalArticle,https://ieeexplore.ieee.org/document/9576505/,10.1109/TCAD.2021.3120547
G35WEDFS,Multi-Gate Mixture-of-Experts for Predistortion of Power Amplifiers in Satellite Multi-Antenna System,journalArticle,https://ieeexplore.ieee.org/document/11114953/,10.1109/TVT.2025.3592389
UIC7TTS3,A Systematic Solution for the Problem of Spectral Degradation in Multiphase TX Architectures,journalArticle,https://ieeexplore.ieee.org/document/9476014/,10.1109/TCSII.2021.3095338
4YVAZH5Q,Conductive bridging-based memristive RF switches on a silicon substrate,journalArticle,https://ieeexplore.ieee.org/document/9609648/,10.1109/TMTT.2021.3124242
NA7PDKZH,Improved alternate test accuracy using weighted training sets,journalArticle,http://ieeexplore.ieee.org/document/7845263/,10.1109/DCIS.2016.7845263
TUTC2INP,2016_Liaperdos et al_Improved alternate test accuracy using w.pdf,attachment,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=7845263&ref=,
UQAUREF6,Realization of a Power-Efficient Transmitter Based on Integrated Artificial Neural Network,journalArticle,https://ieeexplore.ieee.org/document/8529190/,10.1109/ACCESS.2018.2880033
ALCH89JY,2018_Kong et al_Realization of a Power-Efficient Transmi.pdf,attachment,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=8529190&ref=,
QWI8XQGR,2016_Liaperdos et al_Improved alternate test accuracy using w.pdf,attachment,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=7845263&ref=,
I49F4IZJ,A 12-lead ECG integrated circuit design with adjustable gain and bandwidth schemes,conferencePaper,https://ieeexplore.ieee.org/document/8311814/,10.1109/iFUZZY.2017.8311814
284PREGT,2017_Wu et al_A 12-lead ECG integrated circuit design.pdf,attachment,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=8311814&ref=,
H9VXTFRI,2017_Wu et al_A 12-lead ECG integrated circuit design.pdf,attachment,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=8311814&ref=,
B4XHABUV,2018_Kong et al_Realization of a Power-Efficient Transmi.pdf,attachment,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=8529190&ref=,
AHT2ANDK,Analog Fault Identification in RF Circuits using Artificial Neural Networks and Constrained Parameter Extraction,conferencePaper,https://ieeexplore.ieee.org/document/8503117/,10.1109/NEMO.2018.8503117
3EAE3C39,2018_Viveros-Wacher et al_Analog Fault Identification in RF Circui.pdf,attachment,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=8503117&ref=,
XPFI8A5E,An Accuracy Improvement of the Neuromorphic Functional Models by Using the Parallel ANN Architecture,conferencePaper,https://ieeexplore.ieee.org/document/9225034/,10.1109/EWDTS50664.2020.9225034
QBQSAFTA,2020_Mosin et al_An Accuracy Improvement of the Neuromorp.pdf,attachment,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=9225034&ref=,
GKB2HUGI,Nonlinear models of digital filters and their application fields,journalArticle,http://ieeexplore.ieee.org/document/7779351/,10.1109/RED.2016.7779351
5PYEWRXN,2016_Solovyeva et al_Nonlinear models of digital filters and.pdf,attachment,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=7779351&ref=,
IVCHUUP9,A four-way series doherty digital polar transmitter at mm-wave frequencies,journalArticle,https://ieeexplore.ieee.org/document/9675289/,10.1109/JSSC.2021.3133861
BC45G5YP,SAW-Less Direct RF Transmitter With Multimode Noise Shaping and Tri-Level Time-Approximation Filter,journalArticle,https://ieeexplore.ieee.org/document/9568646/,10.1109/JSSC.2021.3116933
R83ZNN95,Bandwidth optimization of doherty power amplifier based on source converters for 5G mobile handsets,journalArticle,https://ieeexplore.ieee.org/document/9618639/,10.1109/TMTT.2021.3124302
PUMWISJR,Deep Learning Driven Design of Highly Efficient Harmonic-Tuned Class F<sup>-1</sup> Power Amplifiers,journalArticle,https://ieeexplore.ieee.org/document/11235187/,10.23919/EuMC65286.2025.11235187
5H9VQK76,Deep Reinforcement Learning for Analog Circuit Structure Synthesis,journalArticle,https://ieeexplore.ieee.org/document/9774699/,10.23919/DATE54114.2022.9774699
F3M4AIRD,Efficient Performance Modeling for Automated CMOS Analog Circuit Synthesis,journalArticle,https://ieeexplore.ieee.org/document/9528897/,10.1109/TVLSI.2021.3107404
JQV7KWIG,"Machine Learning Technologies for RF/Microwave CAD: Past, Present and Future Perspectives",journalArticle,https://ieeexplore.ieee.org/document/9991872/,10.23919/EuMC54642.2022.9991872
ZBPE55IF,Time-Domain 3D Electromagnetic Fields Estimation Based on Physics-Informed Deep Learning Framework,journalArticle,https://ieeexplore.ieee.org/document/10992916/,10.23919/DATE64628.2025.10992916
G2E7CFVD,AI-Driven Electromagnetic Prediction with Pixelated Matching Networks for Broadband and Miniaturized Rectifier Design,journalArticle,https://ieeexplore.ieee.org/document/11394400/,10.23919/PIERS-Fall62445.2025.11394400
3QVMAT6P,Fast Synthesized Methods of Radio Frequency Filter Based on Neural Network,journalArticle,https://ieeexplore.ieee.org/document/10249781/,10.23919/ACES-China60289.2023.10249781
SX6TRTZI,Study of Spiking Neural Network-Based Regressor on Applications in Digital Predistortion for Power Amplifiers,journalArticle,https://ieeexplore.ieee.org/document/10365305/,10.1109/CommNet60167.2023.10365305
NM4UU4PF,Digital Predistortion of RF Power Amplifiers using DeepShift,journalArticle,https://ieeexplore.ieee.org/document/10119079/,10.1109/WCNC55385.2023.10119079
MW6EPM53,Research on Conducted Immunity Quantification Model of Operational Amplifier Based on Neural Networks and Feature Extraction,journalArticle,https://ieeexplore.ieee.org/document/10249590/,10.23919/ACES-China60289.2023.10249590
ABUT8TGG,6GS/s 8-channel CIC SAR TI-ADC with Neural Network Calibration,journalArticle,https://ieeexplore.ieee.org/document/9911287/,10.1109/ESSCIRC55480.2022.9911287
