期刊/会议+年份,论文数量
TMTT2025,19
2025 62nd ACM/IEEE Design Automation Conference (DAC)2025,18
2025 IEEE/ACM International Conference On Computer Aided Design (ICCAD)2025,18
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems2026,14
2024 29th Asia and South Pacific Design Automation Conference (ASP-DAC)2024,12
2025 IEEE International Symposium on Circuits and Systems (ISCAS)2025,12
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems2025,12
2024 IEEE International Symposium on Circuits and Systems (ISCAS)2024,11
"2025 21st International Conference on Synthesis, Modeling, Analysis and Simulation Methods, and Applications to Circuits Design (SMACD)2025",11
IEEE Access2025,11
IEEE Microwave and Wireless Technology Letters2025,11
TMTT2022,11
TMTT2026,11
2026 31st Asia and South Pacific Design Automation Conference (ASP-DAC)2026,10
IEEE Access2020,10
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems2022,10
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems2023,10
Proceedings of the 43rd IEEE/ACM International Conference on Computer-Aided Design2024,10
未知期刊/会议2025,10
"2019 16th International Conference on Synthesis, Modeling, Analysis and Simulation Methods and Applications to Circuit Design (SMACD)2019",9
2021 58th ACM/IEEE Design Automation Conference (DAC)2021,9
2022 27th Asia and South Pacific Design Automation Conference (ASP-DAC)2022,9
2022 ACM/IEEE 4th Workshop on Machine Learning for CAD (MLCAD)2022,9
"2024 20th International Conference on Synthesis, Modeling, Analysis and Simulation Methods and Applications to Circuit Design (SMACD)2024",9
2020 57th ACM/IEEE Design Automation Conference (DAC)2020,8
2023 IEEE/ACM International Conference on Computer Aided Design (ICCAD)2023,8
"2024 Design, Automation &amp; Test in Europe Conference &amp; Exhibition (DATE)2024",8
2025 IEEE/MTT-S International Microwave Symposium - IMS 20252025,8
IEEE Access2023,8
IEEE Microwave and Wireless Technology Letters2024,8
Proceedings of the 61st ACM/IEEE Design Automation Conference2024,8
未知期刊/会议2026,8
"2022 18th International Conference on Synthesis, Modeling, Analysis and Simulation Methods and Applications to Circuit Design (SMACD)2022",7
2022 IEEE International Symposium on Circuits and Systems (ISCAS)2022,7
2024 IEEE/MTT-S International Microwave Symposium - IMS 20242024,7
2025 ACM/IEEE 7th Symposium on Machine Learning for CAD (MLCAD)2025,7
"2025 Design, Automation &amp; Test in Europe Conference (DATE)2025",7
2025 IEEE MTT-S International Microwave Workshop Series On Advanced Materials and Processes for RF and THz Applications (IMWS-AMP)2025,7
IEEE Access2019,7
IEEE Access2026,7
IEEE Microwave and Wireless Components Letters2022,7
IEEE Microwave and Wireless Technology Letters2023,7
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems2024,7
未知期刊/会议未知年份,7
2019 IEEE/ACM International Conference on Computer-Aided Design (ICCAD)2019,6
"2020 Design, Automation & Test in Europe Conference & Exhibition (DATE)2020",6
"2023 19th International Conference on Synthesis, Modeling, Analysis and Simulation Methods and Applications to Circuit Design (SMACD)2023",6
2023 60th ACM/IEEE Design Automation Conference (DAC)2023,6
2023 ACM/IEEE 5th Workshop on Machine Learning for CAD (MLCAD)2023,6
2024 2nd International Symposium of Electronics Design Automation (ISEDA)2024,6
"2025 32nd IEEE International Conference on Electronics, Circuits and Systems (ICECS)2025",6
2025 IEEE MTT-S International Conference on Numerical Electromagnetic and Multiphysics Modeling and Optimization (NEMO)2025,6
2025 International Symposium of Electronics Design Automation (ISEDA)2025,6
IEEE Access2024,6
IEEE Microwave and Wireless Components Letters2021,6
IEEE Microwave and Wireless Technology Letters2026,6
TMTT2024,6
2021 ACM/IEEE 3rd Workshop on Machine Learning for CAD (MLCAD)2021,5
2021 IEEE International Symposium on Circuits and Systems (ISCAS)2021,5
2023 IEEE International Symposium on Circuits and Systems (ISCAS)2023,5
2025 23rd IEEE Interregional NEWCAS Conference (NEWCAS)2025,5
2025 IEEE 68th International Midwest Symposium on Circuits and Systems (MWSCAS)2025,5
IEEE Access2022,5
IEEE Transactions on Circuits and Systems II: Express Briefs2022,5
IEEE Transactions on Instrumentation and Measurement2025,5
IEEE Transactions on Very Large Scale Integration (VLSI) Systems2025,5
ISSCC2025,5
TMTT2023,5
2017 IEEE MTT-S International Microwave Symposium (IMS)2017,4
"2018 15th International Conference on Synthesis, Modeling, Analysis and Simulation Methods and Applications to Circuit Design (SMACD)2018",4
2020 IEEE International Symposium on Circuits and Systems (ISCAS)2020,4
2022 IEEE MTT-S International Microwave Workshop Series on Advanced Materials and Processes for RF and THz Applications (IMWS-AMP)2022,4
"2023 IEEE Microwaves, Antennas, and Propagation Conference (MAPCON)2023",4
2023 International Conference on Microwave and Millimeter Wave Technology (ICMMT)2023,4
2024 IEEE European Solid-State Electronics Research Conference (ESSERC)2024,4
2024 International Conference on Microwave and Millimeter Wave Technology (ICMMT)2024,4
2025 IEEE 17th International Conference on Electronic Measurement &amp; Instruments (ICEMI)2025,4
2025 International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS)2025,4
Electronics2025,4
IEEE Internet of Things Journal2025,4
IEEE Transactions on Circuits and Systems I: Regular Papers2024,4
IEEE Transactions on Circuits and Systems I: Regular Papers2025,4
RFIC2025,4
TMTT2016,4
2018 55th ACM/ESDA/IEEE Design Automation Conference (DAC)2018,3
2018 IEEE MTT-S International Conference on Numerical Electromagnetic and Multiphysics Modeling and Optimization (NEMO)2018,3
2020 25th Asia and South Pacific Design Automation Conference (ASP-DAC)2020,3
2021 IEEE MTT-S International Microwave Symposium (IMS)2021,3
2021 International Conference on Microwave and Millimeter Wave Technology (ICMMT)2021,3
2022 IEEE 16th International Conference on Solid-State & Integrated Circuit Technology (ICSICT)2022,3
2022 IEEE/MTT-S International Microwave Symposium - IMS 20222022,3
2023 24th International Symposium on Quality Electronic Design (ISQED)2023,3
"2023 30th IEEE International Conference on Electronics, Circuits and Systems (ICECS)2023",3
2023 International Symposium of Electronics Design Automation (ISEDA)2023,3
2024 IEEE 17th International Conference on Solid-State &amp; Integrated Circuit Technology (ICSICT)2024,3
2024 IEEE 24th International Conference on Communication Technology (ICCT)2024,3
2024 IEEE Asia-Pacific Microwave Conference (APMC)2024,3
2024 IEEE MTT-S International Microwave Workshop Series on Advanced Materials and Processes for RF and THz Applications (IMWS-AMP)2024,3
2025 18th IEEE United Conference on Millimeter Waves and Terahertz Technologies (UCMMT)2025,3
